Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
A,121.69,133.82,143.16,152.95,157.33,159.01,152.66,153.73,170.43,169.08,161.81,165.9,174.46,178.99,175.64,179.6,157.87,166.46,169.3,165.02
A,107.95,121.61,132.83,144.52,147.48,153.61,146.76,143.41,160.95,164.26,156.71,155.32,176.15,176.9,172.66,171.32,165.98,170.36,170.24,169.35
B,132.53,151.01,171.5,172.8,160.77,165.27,167.66,169.48,172.55,173.93,174.8,175.24,176.26,177.82,178.75,179.48,163.79,168.35,170.79,172.38
A,108.16,121.66,135.77,146.69,147.07,155.17,151.16,145.6,160.68,166.56,162.45,156.0,175.31,178.72,177.73,172.63,169.07,170.38,168.5,169.68
B,129.07,148.61,168.29,175.58,159.43,165.29,168.19,170.25,171.66,173.95,175.26,175.87,176.68,177.22,177.63,178.17,163.64,167.19,169.3,170.83
B,135.09,152.61,172.03,173.33,157.16,164.2,167.71,170.02,169.64,173.3,174.94,175.8,178.64,178.2,178.58,178.82,164.45,167.63,169.99,171.6
A,106.31,122.41,136.54,147.56,147.93,154.35,148.14,144.25,161.71,166.04,159.56,156.55,176.59,178.91,176.06,173.36,166.02,169.42,168.75,168.56
B,127.92,147.64,168.05,177.52,156.54,163.48,167.28,170.0,169.99,172.85,174.47,175.32,177.23,178.19,178.64,178.98,162.47,167.05,169.48,171.23
B,135.11,152.41,171.83,173.25,159.14,164.03,166.6,168.5,170.95,172.7,173.86,174.5,177.57,179.03,179.77,179.64,164.91,169.32,171.82,173.4
B,128.35,147.38,166.35,179.54,155.74,160.82,163.34,165.24,167.3,168.99,170.09,170.67,178.08,176.87,176.16,175.59,169.46,173.52,175.76,177.25
A,116.42,130.95,141.19,151.71,155.1,159.55,152.84,152.08,168.46,170.01,162.55,164.09,176.69,177.34,177.52,178.25,160.09,164.6,166.5,164.8
A,121.5,133.27,142.76,152.23,157.27,159.14,152.59,153.15,169.97,169.1,161.5,164.92,175.54,179.55,174.87,178.66,159.13,167.74,170.98,166.71
A,120.03,132.57,142.18,153.59,156.99,160.58,153.79,152.63,170.58,171.11,164.2,165.93,174.16,175.9,178.98,179.8,156.47,163.41,165.83,164.38
B,134.65,153.12,174.22,169.11,161.09,167.13,170.41,172.83,173.57,176.08,177.59,178.55,174.52,175.42,175.85,176.06,160.78,164.97,167.43,168.99
B,122.22,143.97,163.78,179.35,156.56,162.18,165.16,167.33,168.79,171.02,172.24,172.82,179.98,179.61,179.14,178.56,167.66,170.98,172.86,174.25
B,127.17,147.34,166.55,179.2,160.15,165.21,167.86,169.71,171.67,173.56,174.62,175.14,177.68,178.46,178.98,179.43,165.39,168.9,171.03,172.44
B,133.03,152.83,173.41,171.67,164.8,169.53,171.96,173.78,176.67,177.92,178.79,179.23,172.19,173.83,174.61,175.22,159.48,164.03,166.42,167.95
B,134.42,154.81,174.97,170.12,161.54,166.83,169.71,171.86,173.86,175.87,176.74,177.27,174.26,175.22,176.37,177.17,160.22,164.55,167.35,169.23
B,137.5,155.48,175.91,167.29,162.56,167.97,170.85,172.95,174.51,176.71,177.94,178.52,173.92,174.58,175.16,175.93,161.04,164.76,167.21,169.07
B,130.33,149.65,170.03,173.74,158.68,164.16,167.0,169.13,170.78,172.72,174.03,174.77,177.76,178.78,179.29,179.71,164.75,168.85,171.22,172.8
A,119.46,131.58,141.35,151.85,157.0,158.97,151.87,152.24,169.32,168.7,160.63,163.54,176.44,179.44,174.7,177.72,159.93,166.92,170.48,167.33
